Localpath,Filename,Name,CatRA,CatDEC,DateOBS,Telescope,Instrument,Reference,Reference_Format,Formatted
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J0341+4715_20210102.fits,nires_J0341+4715_20210102.fits,J034146.12+471530.5,55.4421807,47.2584749,20210102,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J0355+4525_20191028.fits,nires_J0355+4525_20191028.fits,J035556.89+452545.9,58.9870811,45.4294276,20191028,Gemini North,GNIRS,ZZ20,Zhan20,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J0355+4743_20210102.fits,nires_J0355+4743_20210102.fits,J035532.23+474358.1,58.8843075,47.7328096,20210102,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J0412-0734_180901.fits,nires_J0412-0734_180901.fits,J041246.85-073416.8,63.1952444,-7.5713358,180901,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J0433+1009_20191219.fits,nires_J0433+1009_20191219.fits,J043309.36+100902.3,68.2890007,10.1506658,20191219,Gemini North,GNIRS,AM20a,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J0615+1526_20191028.fits,nires_J0615+1526_20191028.fits,J061557.22+152623.6,93.9884421,15.4399027,20191028,Gemini North,GNIRS,EM18,Mart18,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J0617+1945AB_20210102.fits,nires_J0617+1945AB_20210102.fits,J061741.79+194512.8A,94.4241519,19.7535668,20210102,Gemini North,GNIRS,"JDK20, Aaron/Austin/Noah",Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J0617+1945B_20210102.fits,nires_J0617+1945B_20210102.fits,J061741.79+194512.8B,94.4241519,19.7535668,20210102,Gemini North,GNIRS,"JDK20, Aaron/Austin/Noah",Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J0640-2352_20181027.fits,nires_J0640-2352_20181027.fits,J064025.40-235221.5,100.1058561,-23.8726577,20181027,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J0645-0302_20210102.fits,nires_J0645-0302_20210102.fits,J064528.39-030249.9,101.3683028,-3.0472063,20210102,Gemini North,GNIRS,CT18,Tinn18,Good
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J0758+5711_20210224.fits,nires_J0758+5711_20210224.fits,J075831.11+571153.9,119.629654,57.1983282,20210224,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J0931+2325_20220123.fits,nires_J0931+2325_20220123.fits,J093111.01+232501.2,142.7958947,23.4170218,20220123,Gemini North,GNIRS,AM20a,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J1055+5443_20210224.fits,nires_J1055+5443_20210224.fits,J105512.11+544328.3,163.8004937,54.7245505,20210721,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J1308-0321_20220120.fits,nires_J1308-0321_20220120.fits,J130841.31-032157.7,197.1721629,-3.3660367,20220120,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J1401+4325_20220123.fits,nires_J1401+4325_20220123.fits,J140118.30+432553.5,210.3262697,43.43153,20220123,Gemini North,GNIRS,AM20a,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J1458+1734_20220711.fits,nires_J1458+1734_20220711.fits,J145837.85+173450.1,224.6577276,17.580603,20220711,Gemini North,GNIRS,AM20a,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J1553+6934_20200707.fits,nires_J1553+6934_20200707.fits,J155347.61+693402.2,238.4483831,69.5672787,20200707,Gemini North,GNIRS,AM20b,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J2013-0326_20210823.fits,nires_J2013-0326_20210823.fits,J201342.27-032643.7,303.4261425,-3.4454973,20210823,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J2138-3138_20191028.fits,nires_J2138-3138_20191028.fits,J213838.77-313808.7,324.6615525,-31.6357544,20191028,Gemini North,GNIRS,AM20a,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J2218+1146_20200707.fits,nires_J2218+1146_20200707.fits,JJ221859.41+114642.7,334.7475589,11.7785419,20200707,Gemini North,GNIRS,AM20b,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/nires_J2309+1456_180901.fits,nires_J2309+1456_180901.fits,J230930.81+145630.6,347.3784026,14.9418416,180901,Gemini North,GNIRS,AM20b,Meis20,
